,0
627,5.0
628,19.0
629,58.0
630,92.0
631,106.0
632,102.0
633,83.0
634,67.0
635,73.0
636,100.0
637,142.0
638,195.0
639,242.0
640,259.0
641,223.0
642,195.0
643,209.0
644,226.0
645,240.0
646,242.0
647,191.0
648,95.0
649,24.0
650,9.0
651,11.0
652,10.0
653,40.0
654,100.0
655,129.0
656,104.0
657,100.0
658,119.0
659,123.0
660,147.0
661,205.0
662,251.0
663,271.0
664,295.0
665,323.0
666,303.0
667,316.0
668,391.0
669,418.0
670,372.0
671,297.0
672,203.0
673,94.0
674,26.0
675,16.0
676,22.0
677,65.0
678,136.0
679,149.0
680,115.0
681,119.0
682,131.0
683,115.0
684,150.0
685,225.0
686,267.0
687,293.0
688,332.0
689,317.0
690,278.0
691,294.0
692,294.0
693,279.0
694,289.0
695,287.0
696,194.0
697,65.0
698,13.0
699,5.0
700,13.0
701,90.0
702,149.0
703,109.0
704,73.0
705,99.0
706,120.0
707,101.0
708,111.0
709,164.0
710,214.0
711,254.0
712,280.0
713,238.0
714,198.0
715,215.0
716,218.0
717,197.0
718,188.0
719,182.0
720,126.0
721,35.0
722,5.0
723,5.0
724,20.0
725,55.0
726,75.0
727,71.0
728,76.0
729,84.0
730,83.0
731,83.0
732,107.0
733,149.0
734,186.0
735,226.0
736,262.0
737,260.0
738,239.0
739,207.0
740,187.0
741,217.0
742,231.0
743,194.0
744,110.0
745,31.0
746,10.0
747,13.0
748,20.0
749,57.0
750,104.0
751,121.0
752,103.0
753,103.0
754,107.0
755,87.0
756,112.0
757,181.0
758,218.0
759,238.0
760,295.0
761,314.0
762,269.0
763,250.0
764,257.0
765,222.0
766,194.0
767,212.0
768,161.0
769,55.0
770,9.0
771,11.0
772,10.0
773,42.0
774,104.0
775,122.0
776,112.0
777,120.0
778,102.0
779,89.0
780,140.0
781,166.0
782,157.0
783,211.0
784,307.0
785,294.0
786,215.0
787,211.0
788,233.0
789,186.0
790,156.0
791,171.0
792,133.0
793,47.0
794,5.0
795,7.0
796,12.0
797,36.0
798,79.0
799,91.0
800,70.0
801,68.0
802,68.0
803,66.0
804,87.0
805,132.0
806,185.0
807,241.0
808,268.0
809,238.0
810,213.0
811,240.0
812,248.0
813,199.0
814,178.0
815,191.0
816,123.0
817,23.0
818,6.0
819,14.0
820,8.0
821,47.0
822,96.0
823,90.0
824,86.0
825,114.0
826,117.0
827,114.0
828,168.0
829,223.0
830,246.0
831,298.0
832,332.0
833,307.0
834,315.0
835,320.0
836,311.0
837,329.0
838,326.0
839,263.0
840,176.0
841,100.0
842,41.0
843,5.0
844,15.0
845,73.0
846,121.0
847,148.0
848,132.0
849,96.0
850,95.0
851,131.0
852,184.0
853,240.0
854,266.0
855,282.0
856,299.0
857,306.0
858,305.0
859,290.0
860,264.0
861,245.0
862,249.0
863,245.0
864,171.0
865,54.0
866,9.0
867,14.0
868,16.0
869,49.0
870,116.0
871,134.0
872,102.0
873,96.0
874,100.0
875,97.0
876,139.0
